Project #,Project Title,Research Focus Area,Research Program,Administering IC(s),Institution(s),Investigator(s),Location(s),Year Awarded,Summary
1RF1NS134549-01,Validation of a New Large-Pore Channel as a Novel Target for Neuropathic Pain,Preclinical and Translational Research in Pain Management,Discovery and Validation of Novel Targets for Safe and Effective Treatment of Pain,NINDS,JOHNS HOPKINS UNIVERSITY,"QIU, ZHAOZHU (contact); GUAN, YUN","Baltimore, MD",2023,"Activation of immune cells (microglia) in the central nervous system and neuroinflammation have emerged as key drivers of neuropathic pain. These processes can be triggered by release of ATP, the compound that provides energy to many biochemical reactions. The source and mechanism of ATP release are poorly understood but could be targets of novel treatment approaches for neuropathic pain. This project will use genetic, pharmacological, and electrophysiological approaches to determine whether a large pore channel called Swell 1 that spans the cell membrane is the source of ATP release and resulting neuropathic pain and thus could be a treatment target."
1R01DA059473-01,Sleep and Circadian Rhythm Phenotypes and Mechanisms Associated With Opioid Use Disorder Treatment Outcomes,New Strategies to Prevent and Treat Opioid Addiction,Sleep Dysfunction as a Core Feature of Opioid Use Disorder and Recovery,NIDA,JOHNS HOPKINS UNIVERSITY,"HUHN, ANDREW S (contact); RABINOWITZ, JILL ALEXANDRA","Baltimore, MD",2023,"Chronic opioid use has well known effects on sleep quality, including disordered breathing during sleep and other abnormalities related to circadian rhythms. However, little is known about the relationship between sleep-related symptoms and non-medical opioid use among individuals being treated for opioid use disorder. This longitudinal study aims to identify biological pathways that may account for these associations. The research will first determine associations of sleep and proxy measures of circadian rhythms with non-medical opioid use. Second, they will investigate emotional processes associated with sleep/circadian symptoms and opioid treatment outcomes."
5U54DA049110-04,Data Center for Acute to Chronic Pain Biosignatures,Clinical Research in Pain Management,Acute to Chronic Pain Signatures Program,NIDA,JOHNS HOPKINS UNIVERSITY,"LINDQUIST, MARTIN (contact); WAGER, TOR D","Baltimore, MD",2023,"Understanding the mechanisms underlying the transition to chronic pain is key to mitigating the dual epidemics of chronic pain and opioid use in the United States. As part of the National Institutes of Health-funded Acute to Chronic Pain Signatures Program, the Data Integration and Resource Center aims to This project will support a post-doctoral trainee to develop the skills and knowledge needed to pursue a successful career in clinical pain research. The research will involve integrating imaging, physiology, -omics, behavioral, and clinical data to develop biosignatures for the transition from acute to chronic pain, toward understanding how the nervous and immune systems affect post-surgical pain and opioid use."
1UG3AR083838-01,Improving Function and Reducing Opioid Use for Patients with Chronic Low Back Pain in Rural Communities Through Improved Access to Physical Therapy Using Telerehabilitation,Clinical Research in Pain Management,Prevention and Management of Chronic Pain in Rural Populations,NIAMS,JOHNS HOPKINS UNIVERSITY,"SKOLASKY, RICHARD L (contact); MCLAUGHLIN, KEVIN","Baltimore, MD",2023,"Physical therapy is the recommended treatment for patients with low back pain and is a cost-effective method for improving pain and reducing disability. However, only 7-13% of patients receive physical therapy services. Access is particularly limited in rural communities due to lack of provider availability, transportation, and missed work time. These factors have contributed to more low back pain-related disability and opioid use among rural populations. Physical therapy delivered through telemedicine may improve access by reducing patient-reported barriers. This randomized clinical trial will compare an innovative, patient-centered telemedicine version of physical therapy to a currently used psychologically based educational approach for rural patients with chronic low back pain. The research will match individual patients to a treatment approach based on their psychosocial risk of poor outcomes."
1R01DA057655-01,Implementing and Evaluating the Impact of Novel Mobile Harm Reduction Services on Overdose Among Women who use Drugs: The SHOUT Study,Translation of Research to Practice for the Treatment of Opioid Addiction,Harm Reduction Approaches to Reduce Overdose Deaths,NIDA,JOHNS HOPKINS UNIVERSITY,"SHERMAN, SUSAN G","Baltimore, MD",2022,"This project will evaluate a previously developed harm reduction intervention that addresses the needs of women who use drugs in an urban environment. The approach uses a mobile van to offer naloxone, fentanyl test strips, and other harm reduction supplies – along with necessities such as food and clothing, brief trauma-informed counseling, and referrals to drug treatment, medical care, and social services. This research aims to test the impact of an intervention that may increase access to harm reduction services for women, as well as assess how to put it into place."
1R01DA057673-01,The Short and Long-Term Dynamics of Opioid/Stimulant Use: Mixed Methods to Inform Overdose Prevention and Treatment Related to Polysubstance Use,Translation of Research to Practice for the Treatment of Opioid Addiction,Improving Delivery of Healthcare Services for Polysubstance Use,NIDA,JOHNS HOPKINS UNIVERSITY,"GENBERG, BECKY LYNN (contact); GERMAN, DANIELLE","Baltimore, MD",2022,"Use of both opioids and stimulants is increasing, but little is known about how polysubstance use evolves over time and how it influences overdose risk. This project will use data from two groups at high risk for overdose: i) participants in the AIDS Linked to the IntraVenous Experience (ALIVE) study who inject drugs and ii)  participants in the new Stimulant Opioid Non-Injection Cohort (SONIC) study. This research will identify drug use patterns and their association with treatment and overdose over time – toward informing overdose prevention efforts and interventions to improve the U.S. opioid crisis."
1R61AT012279-01,Quantifying and Treating Myofascial Dysfunction in Post Stroke Shoulder Pain,Clinical Research in Pain Management,"Discovery and Validation of Biomarkers, Endpoints, and Signatures for Pain Conditions",NCCIH,JOHNS HOPKINS UNIVERSITY,"RAGHAVAN, PREETI","Baltimore, MD",2022,"Shoulder pain occurs in many patients who are recovering from a stroke. In addition to impairments in the ability to move, persistent shoulder pain contributes to depression, and often reduces quality of life. Although the cause of post-stroke shoulder pain is complex and not completely understood, it is thought to arise in part to damage of muscles and surrounding connective tissues (myofascial tissues) in the shoulder. This project will use advanced medical imaging techniques to create biomarkers of that can reliably identify myofascial tissues. The research will then test the ability of these biomarkers to monitor, and ultimately predict treatment responses in patients with post-stroke shoulder pain in the context of a randomized controlled clinical trial."
3UH3AR077360-04S1,A sequenced-strategy for improving outcomes in patients with knee osteoarthritis pain,Cross-Cutting Research,Training the Next Generation of Researchers in HEAL,NIAMS,JOHNS HOPKINS UNIVERSITY,"CAMPBELL, CLAUDIA MICHELLE (contact); CASTILLO, RENAN C; COHEN, STEVEN P","Baltimore, MD",2022,"Knee osteoarthritis is one of the leading causes of chronic pain and disability worldwide, affecting more than 30% of older adults. Rates of this condition have more than doubled in the past 70 years and continue to grow sharply, given increases in life expectancy and body mass index among the U.S. population. This project supports a scientist from a group underrepresented in biomedicine to expand ongoing clinical research comparing various non-medication-based treatments for knee osteoarthritis."
3UH3AR077360-03S2,Increasing Participant Diversity in a 'Sequenced-Strategy to Improve Outcomes in People with Knee Osteoarthritis Pain (SKOAP),Clinical Research in Pain Management,Pain Management Effectiveness Research Network (ERN),NIAMS,JOHNS HOPKINS UNIVERSITY,"COHEN, STEVEN  P","Baltimore, MD",2021,"Knee osteoarthritis is one of the leading causes of disability worldwide, particularly among older adults. Despite multiple guidelines for care, most patients do not receive adequate treatment, and about 30% are prescribed long-term opioids. This award will be used to recruit and support an early career faculty member from a group underrepresented in biomedicine. This research, part of the Pain Management Effectiveness Research Network will evaluate conservative and more aggressive treatments for knee osteoarthritis and determine which individual-level factors contribute to treatment outcomes."
3UH3AR077360-03S1,A sequenced-strategy for improving outcomes in patients with knee osteoarthritis pain,Clinical Research in Pain Management,Pain Management Effectiveness Research Network (ERN),NIAMS,JOHNS HOPKINS UNIVERSITY,"CAMPBELL, CLAUDIA MICHELLE (contact); CASTILLO, RENAN C; COHEN, STEVEN P","Baltimore, MD",2021,"Knee osteoarthritis is one of the leading causes of disability worldwide, particularly among older adults. Despite multiple guidelines for care, most patients do not receive adequate treatment, and about 30% are prescribed long-term opioids. This award will be used to recruit and support an early career faculty member from a group underrepresented in biomedicine. This research, part of the Pain Management Effectiveness Research Network will evaluate conservative and more aggressive treatments for knee osteoarthritis and determine which individual-level factors contribute to treatment outcomes."
